,x,y,forested,b01,b02,b03,b04,b05,b06,b07,b09,b10,b11
106,7483,2484,1,9133,8207,7359,6446,14670,7928,6300,5051,0,0
107,2177,3767,1,9545,8509,8039,6693,20491,10855,7295,5035,25923,23919
108,1407,4453,1,9511,8484,8029,6739,18324,9718,6801,5039,26520,24364
109,3957,1422,1,9270,8304,8008,6627,25806,11813,7398,5035,26072,24071
110,7652,1629,0,11424,10538,9773,9322,16844,12415,9776,6148,25965,23586
111,669,4564,1,9876,8913,8439,7668,21108,13751,8830,5031,27428,24849
112,3119,6233,0,10081,9153,8126,7551,14003,9715,7623,5025,28397,25788
113,2782,2505,1,9541,8511,7783,6593,20651,10438,7076,5034,25625,23644
114,5752,5121,0,9392,8412,7227,6429,5922,5489,5370,5026,25848,23826
115,1986,5863,0,10383,9587,8978,8768,10170,10218,8968,5041,31331,27887
116,903,6165,1,9419,8434,8067,6892,18420,10235,7345,5035,26802,24497
117,1632,3650,1,9642,8618,7865,6671,21424,10659,7307,5038,25877,23969
118,2971,3016,1,9363,8351,7551,6444,17513,8511,6212,5040,24976,23095
119,3889,2899,1,8940,8057,7490,6354,17540,8172,6118,5029,25698,23893
120,5393,1901,1,9230,8250,7967,6519,23797,9331,6497,5045,25750,23741
121,4428,4314,1,9148,8197,8043,6659,23326,12993,8225,5017,25283,23611
122,5722,1397,1,9131,8126,7324,6348,14644,7967,6054,5057,26360,24217
123,2691,4235,0,9907,8996,8013,6960,6179,5617,5500,5030,25616,23494
124,1236,6431,1,9540,8470,7532,6421,18724,8533,6139,5042,27121,24615
125,4878,2784,1,9628,8680,7900,6949,14926,7698,6217,5385,23406,21833
126,1884,2649,1,9508,8459,7941,6567,23455,10460,6847,5044,26660,24388
127,6032,4452,1,8793,7866,6857,6183,9874,6333,5649,5158,26681,24179
128,1395,3090,1,9842,8743,8485,6874,26779,12914,8044,5044,25887,23820
129,5333,3669,1,8995,8058,7384,6427,14498,8083,6256,5033,26088,24085
130,3308,929,0,10625,10148,10440,10651,20384,19772,13599,5050,29868,26401
131,1384,3826,1,9592,8509,7959,6544,22666,9929,6692,5045,25764,23808
132,4799,3278,1,9255,8373,7967,7048,16277,9624,7120,5032,26767,24637
133,2060,4333,1,9345,8347,7654,6466,15736,8245,6185,5031,26005,23942
134,2699,6374,0,13285,12965,12103,12353,12925,15747,14480,5028,30883,27489
135,5650,1625,1,9289,8301,7744,6573,17690,9009,6468,5036,26550,24379
136,4131,1067,1,9172,8167,7586,6371,18733,9455,6597,5024,25799,23916
137,768,4539,1,9753,8746,8246,6820,25216,12124,7725,5011,26672,24485
138,2723,1819,1,9570,8526,7910,6625,22333,10938,7150,5024,25986,23891
139,2209,6278,1,9499,8455,7629,6552,17147,8842,6497,5038,27146,24810
140,1756,5390,1,9489,8407,7586,6407,17507,8206,6058,5046,27360,24919
141,4409,4241,1,9256,8303,7976,6578,17976,8603,6257,5078,25411,23618
142,1379,1898,1,9629,8596,7862,6600,21320,9849,6703,5037,26781,24434
143,5879,7013,1,8771,7855,7132,6203,14078,7747,6002,5040,28197,26024
144,1771,2701,1,9511,8445,7767,6496,22324,8999,6272,5029,26811,24590
145,4898,7512,1,8772,7805,7075,6182,11899,7161,5832,5025,26279,24364
146,1948,2938,1,9434,8416,7879,6541,21352,10058,6681,5046,26262,24169
147,4871,1518,1,8951,7972,7309,6255,17019,8660,6277,5032,25340,23513
148,590,5344,1,9810,8901,8800,7675,21006,13382,9101,5044,26859,24464
149,2105,2163,1,9614,8514,7744,6564,18066,8997,6583,5030,26759,24449
150,2058,6768,0,10217,9471,9033,9735,13141,13556,11616,5048,32412,28329
151,3980,2173,1,9262,8264,7505,6410,17290,8708,6331,5038,25547,23725
152,4987,6937,1,8840,7945,7136,6272,12662,7275,5862,5043,25963,24140
153,2621,1935,1,9523,8499,7964,6627,22058,10920,7219,5036,26418,24208
154,2591,1757,1,9575,8502,7671,6596,15887,8912,6473,5033,25867,23812
155,3888,3310,1,8904,8013,7358,6339,15519,8068,6279,5030,26430,24306
156,1603,5100,1,9549,8496,7897,6636,22037,11200,7305,5031,27120,24706
157,3382,4582,1,9300,8292,7623,6453,16330,9353,6665,5031,25631,23710
158,5132,2970,1,8971,8080,7362,6468,13478,7775,6155,5077,25389,23459
159,2589,4024,0,9901,8949,7827,6831,6216,5727,5560,5014,25625,23478
160,1103,2574,0,10751,9821,8988,8849,12295,15210,11052,5036,28299,25718
161,6411,3525,0,10015,9358,8927,9373,11889,15393,14606,5045,36210,31426
162,1079,3444,1,9772,8679,7935,6588,19740,9697,6678,5021,25125,23249
163,5395,3700,1,8923,7964,7282,6321,14280,7970,6207,5052,26279,24178
164,4263,2758,1,9087,8154,7405,6444,14840,7313,5938,5026,25216,23515
165,1222,4776,1,9406,8352,7626,6446,16456,8695,6301,5030,26819,24559
166,2737,4831,1,9607,8575,8017,6793,22258,11116,7486,5040,26122,24088
167,7422,1983,0,9661,8907,8170,7752,12979,11334,8893,5115,30022,26836
168,3417,2891,0,10575,9910,9377,9793,15119,17899,13168,5040,28163,25506
169,2602,1542,0,10484,9710,9343,9404,17669,16888,11997,5042,28344,25623
170,6000,3442,0,9882,9109,8289,8282,9660,12783,11572,5031,30389,27118
171,2302,3543,0,10522,9641,9229,8593,16416,12361,9324,5037,30372,26917
172,2776,6678,0,10680,10166,9991,10829,17875,18435,13015,5039,30461,27025
173,1861,2484,0,10615,9915,9603,9886,15602,18833,13942,5014,30694,27340
174,5389,3716,1,8864,7915,7199,6269,12964,7305,5899,5021,25792,23751
175,5484,6730,1,8805,7936,7302,6586,12192,9029,7086,5026,27677,25486
176,2973,5095,0,10931,10179,9674,9321,17346,12966,9890,5039,29455,26377
177,1915,4270,1,9431,8417,7924,6646,19155,9370,6597,5029,26541,24221
178,5523,2010,1,8543,7680,7029,6108,13780,7111,5761,5045,25385,23527
179,3538,2833,1,9393,8374,7787,6577,20966,10286,6929,5024,27048,24686
180,4139,6987,1,9197,8187,7393,6362,16083,8000,6043,5051,25359,23611
181,1919,998,0,10372,9645,9673,9522,17704,16797,11516,5035,29666,26555
182,2031,5822,0,11291,10569,9863,9910,12680,12006,10357,5034,32830,28753
183,4508,7037,1,8915,7945,7323,6292,15654,8351,6305,5033,25369,23598
184,4461,5470,1,9239,8201,7438,6433,15066,8914,6575,5022,24998,23212
185,5449,2851,1,8814,7921,7108,6231,13739,7382,5896,5071,25539,23519
186,6451,6260,0,10332,9822,9336,9804,15651,17374,12961,5039,33161,29494
187,1479,5738,1,9402,8363,7677,6482,18119,8926,6396,5030,27764,25051
188,2789,1732,1,9543,8492,8020,6662,24412,11911,7500,5037,25862,23793
189,1327,3506,0,9885,8824,7609,6525,5779,5285,5215,5032,25416,23434
